"com.autonomic","platform-protos","0.0.2-SNAPSHOT","Autonomic Proprietary 1.0"
"com.carrotsearch","hppc","0.7.1","Apache License, Version 2.0"
"com.carrotsearch.randomizedtesting","randomizedtesting-runner","2.3.2","Apache License, Version 2.0"
"com.fasterxml.jackson.core","jackson-annotations","2.8.3","Apache License, Version 2.0"
"com.fasterxml.jackson.core","jackson-core","2.8.3","Apache License, Version 2.0"
"com.fasterxml.jackson.core","jackson-databind","2.8.3","Apache License, Version 2.0"
"com.fasterxml.jackson.dataformat","jackson-dataformat-cbor","2.8.3","Apache License, Version 2.0"
"com.fasterxml.jackson.dataformat","jackson-dataformat-smile","2.8.3","Apache License, Version 2.0"
"com.fasterxml.jackson.dataformat","jackson-dataformat-yaml","2.8.3","Apache License, Version 2.0"
"com.google.code.findbugs","jsr305","3.0.0","Apache License, Version 2.0"
"com.google.code.gson","gson","2.7","Apache License, Version 2.0"
"com.google.guava","guava","19.0","Apache License, Version 2.0"
"com.google.protobuf","protobuf-java","3.1.0","BSD 3-Clause"
"com.google.protobuf","protobuf-java-util","3.1.0","BSD 3-Clause"
"com.ning","compress-lzf","1.0.2","Apache License, Version 2.0"
"com.spatial4j","spatial4j","0.5","Apache License, Version 2.0"
"com.tdunning","t-digest","3.0","Apache License, Version 2.0"
"com.twitter","jsr166e","1.1.0","Public Domain"
"commons-cli","commons-cli","1.3.1","Apache License, Version 2.0"
"commons-codec","commons-codec","1.10","Apache License, Version 2.0"
"commons-logging","commons-logging","1.2","Apache License, Version 2.0"
"io.grpc","grpc-core","1.0.0","BSD 3-Clause"
"io.grpc","grpc-netty","1.0.0","BSD 3-Clause"
"io.grpc","grpc-protobuf","1.0.0","BSD 3-Clause"
"io.grpc","grpc-protobuf-lite","1.0.0","BSD 3-Clause"
"io.grpc","grpc-stub","1.0.0","BSD 3-Clause"
"io.netty","netty","3.10.6.Final","Apache License, Version 2.0"
"io.netty","netty-buffer","4.1.3.Final","Apache License, Version 2.0"
"io.netty","netty-codec","4.1.3.Final","Apache License, Version 2.0"
"io.netty","netty-codec-http","4.1.3.Final","Apache License, Version 2.0"
"io.netty","netty-codec-http2","4.1.3.Final","Apache License, Version 2.0"
"io.netty","netty-common","4.1.3.Final","Apache License, Version 2.0"
"io.netty","netty-handler","4.1.3.Final","Apache License, Version 2.0"
"io.netty","netty-resolver","4.1.3.Final","Apache License, Version 2.0"
"io.netty","netty-transport","4.1.3.Final","Apache License, Version 2.0"
"io.searchbox","jest","5.3.2","Apache License, Version 2.0"
"io.searchbox","jest-common","5.3.2","Apache License, Version 2.0"
"joda-time","joda-time","2.9.7","Apache License, Version 2.0"
"junit","junit","4.12","Eclipse Public License 1.0"
"net.java.dev.jna","jna","4.2.1","Apache License, Version 2.0 | LGPL, version 2.1"
"net.jpountz.lz4","lz4","1.3.0","Apache License, Version 2.0"
"org.antlr","antlr4-runtime","4.5.1-1","BSD 3-Clause"
"org.apache.httpcomponents","httpasyncclient","4.1.2","Apache License, Version 2.0"
"org.apache.httpcomponents","httpclient","4.5","Apache License, Version 2.0"
"org.apache.httpcomponents","httpcore","4.4.1","Apache License, Version 2.0"
"org.apache.httpcomponents","httpcore-nio","4.4.6","Apache License, Version 2.0"
"org.apache.kafka","connect-api","0.10.2.1","Apache License, Version 2.0"
"org.apache.kafka","connect-json","0.10.2.1","Apache License, Version 2.0"
"org.apache.kafka","kafka-clients","0.10.2.1","Apache License, Version 2.0"
"org.apache.lucene","lucene-analyzers-common","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-backward-codecs","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-codecs","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-core","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-expressions","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-grouping","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-highlighter","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-join","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-memory","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-misc","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-queries","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-queryparser","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-sandbox","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-spatial","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-spatial3d","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-suggest","5.5.2","Apache License, Version 2.0"
"org.apache.lucene","lucene-test-framework","5.5.2","Apache License, Version 2.0"
"org.elasticsearch","elasticsearch","2.4.1","Apache License, Version 2.0"
"org.elasticsearch","securesm","1.0","Apache License, Version 2.0"
"org.hamcrest","hamcrest-junit","2.0.0.0","Eclipse Public License 1.0"
"org.hamcrest","java-hamcrest","2.0.0.0","BSD 3-Clause"
"org.hdrhistogram","HdrHistogram","2.1.6","Public Domain"
"org.joda","joda-convert","1.2","Apache License, Version 2.0"
"org.ow2.asm","asm","5.0.4","BSD 3-Clause"
"org.ow2.asm","asm-commons","5.0.4","BSD 3-Clause"
"org.slf4j","slf4j-api","1.7.21","MIT-License"
"org.xerial.snappy","snappy-java","1.1.2.6","Apache License, Version 2.0"
"org.yaml","snakeyaml","1.17","Apache License, Version 2.0"
